Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-08-28 21:10:19,2022-08-29 21:28:37,UTC+02:00,40,47,65,33.88,96.45,7.0,1906,164,62,2022-08-28 21:10:19,2022-08-29 06:12:01,84,13.3,476,542,223,84,169,66,569,56,89,71
2022-08-27 23:21:01,2022-08-28 21:10:19,UTC+02:00,82,45,88,33.90,97.31,16.3,2488,172,65,2022-08-27 23:21:01,2022-08-28 07:29:50,81,13.1,440,489,287,66,87,49,544,60,91,80
2022-08-26 23:06:04,2022-08-27 23:21:01,UTC+02:00,68,46,82,33.80,97.05,11.4,2263,162,61,2022-08-26 23:06:04,2022-08-27 06:36:56,74,13.4,379,448,176,76,127,69,509,29,84,84
2022-08-25 21:51:35,2022-08-26 23:06:04,UTC+02:00,72,45,80,33.70,96.55,10.1,2227,142,64,2022-08-25 21:51:35,2022-08-26 06:29:44,90,13.1,479,518,147,117,215,39,529,38,93,86
2022-08-24 22:09:48,2022-08-25 21:51:35,UTC+02:00,65,47,80,33.80,96.41,12.9,2337,170,66,2022-08-24 22:09:48,2022-08-25 06:45:04,87,13.4,470,515,254,84,132,45,538,53,92,84
2022-08-23 22:47:44,2022-08-24 22:09:48,UTC+02:00,53,49,75,34.40,97.35,11.7,2137,167,62,2022-08-23 22:47:44,2022-08-24 06:59:55,82,13.2,458,492,198,92,168,34,561,68,93,77
2022-08-22 22:05:24,2022-08-23 22:47:44,UTC+02:00,55,48,77,34.07,97.21,13.3,2437,162,70,2022-08-22 22:05:24,2022-08-23 05:22:48,77,13.5,391,437,148,98,145,46,508,38,89,71
2022-08-21 22:35:09,2022-08-22 22:05:24,UTC+02:00,83,47,93,34.51,98.58,4.3,1702,113,58,2022-08-21 22:35:09,2022-08-22 07:01:19,87,13.5,470,504,228,100,142,34,539,67,93,64
2022-08-20 23:57:53,2022-08-21 22:35:09,UTC+02:00,21,67,58,34.68,97.83,6.6,1721,129,72,2022-08-20 23:57:53,2022-08-21 08:05:16,71,14.9,443,487,121,115,207,44,621,79,91,54
2022-08-19 21:38:56,2022-08-20 23:57:53,UTC+02:00,66,45,87,34.34,96.56,20.7,8524,179,99,2022-08-19 21:38:56,2022-08-20 04:29:05,66,13.3,379,410,138,98,143,31,570,97,92,68
