Cycle start time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain
2022-01-03 22:27:44,59.0,45.0,69.0,16.0
2022-01-02 21:47:14,76.0,46.0,76.0,9.1
2022-01-02 00:08:31,61.0,48.0,75.0,6.8
2022-01-01 04:04:42,35.0,52.0,64.0,4.1
2021-12-30 23:29:15,58.0,46.0,74.0,15.1
2021-12-29 22:33:00,49.0,48.0,69.0,5.2
2021-12-28 22:12:05,72.0,48.0,79.0,13.6
2021-12-27 23:03:13,88.0,45.0,83.0,6.9
2021-12-26 22:39:19,88.0,46.0,84.0,13.7
2021-12-25 23:14:11,87.0,46.0,82.0,6.9
2021-12-24 23:46:06,74.0,46.0,77.0,5.2
2021-12-23 23:04:58,74.0,49.0,77.0,8.6
2021-12-22 23:08:56,49.0,47.0,66.0,13.9
2021-12-21 22:19:05,66.0,48.0,75.0,5.6
2021-12-20 22:06:01,79.0,46.0,79.0,11.7
2021-12-19 20:35:33,45.0,48.0,64.0,10.7
2021-12-19 01:31:47,54.0,50.0,74.0,5.5
2021-12-17 21:37:38,91.0,46.0,84.0,16.5
2021-12-16 22:21:49,78.0,49.0,80.0,11.8
2021-12-15 21:44:02,70.0,46.0,77.0,16.5
2021-12-14 21:39:34,62.0,48.0,75.0,10.8
2021-12-13 21:27:50,96.0,47.0,87.0,15.1
2021-12-12 22:12:22,67.0,51.0,79.0,14.0
2021-12-11 22:40:20,66.0,49.0,77.0,17.4
2021-12-10 22:16:21,60.0,49.0,77.0,12.5
2021-12-09 22:07:35,70.0,48.0,81.0,16.7
2021-12-08 22:06:12,80.0,46.0,83.0,10.3
2021-12-07 21:48:23,62.0,48.0,78.0,9.2
2021-12-06 22:05:14,81.0,48.0,84.0,14.7
2021-12-05 21:35:11,87.0,51.0,86.0,10.9
2021-12-04 22:53:46,60.0,51.0,75.0,19.9
2021-12-03 22:03:40,83.0,49.0,83.0,17.2
2021-12-02 21:03:59,93.0,46.0,87.0,17.5
2021-12-01 21:27:11,78.0,48.0,80.0,10.0
2021-11-30 22:01:11,82.0,47.0,79.0,16.2
2021-11-29 22:16:48,93.0,46.0,85.0,15.8
2021-11-28 21:52:27,73.0,48.0,76.0,11.8
2021-11-27 23:59:09,47.0,55.0,70.0,7.8
2021-11-26 23:54:40,63.0,50.0,75.0,20.6
2021-11-25 22:35:35,83.0,45.0,80.0,15.4
2021-11-24 21:07:45,83.0,47.0,79.0,14.5
2021-11-23 21:47:20,74.0,47.0,74.0,16.2
2021-11-22 21:41:21,51.0,50.0,66.0,12.4
2021-11-21 21:47:36,55.0,52.0,71.0,12.9
2021-11-20 22:12:51,40.0,50.0,60.0,18.3
2021-11-19 23:59:25,42.0,50.0,65.0,15.2
2021-11-18 22:40:18,66.0,46.0,75.0,14.8
2021-11-17 22:37:44,95.0,43.0,90.0,16.4
2021-11-16 22:36:13,75.0,46.0,77.0,12.0
2021-11-15 22:11:28,68.0,48.0,76.0,14.8
2021-11-14 22:16:16,47.0,47.0,68.0,14.7
2021-11-14 00:17:38,56.0,52.0,75.0,13.0
2021-11-12 22:57:46,91.0,48.0,83.0,20.5
2021-11-11 21:55:07,64.0,49.0,76.0,13.9
2021-11-10 22:23:56,65.0,48.0,77.0,13.1
2021-11-09 22:35:22,53.0,49.0,74.0,12.0
2021-11-08 20:48:27,83.0,46.0,81.0,19.0
2021-11-07 22:06:03,76.0,45.0,79.0,14.4
2021-11-06 23:25:25,83.0,45.0,81.0,13.1
2021-11-05 22:42:55,54.0,48.0,74.0,6.6
2021-11-04 22:55:35,58.0,47.0,77.0,16.9
2021-11-03 21:28:32,62.0,48.0,78.0,12.0
2021-11-02 21:49:02,82.0,46.0,83.0,17.9
2021-11-01 21:36:58,52.0,49.0,74.0,14.8
2021-10-31 23:01:23,71.0,47.0,82.0,16.8
2021-10-30 23:34:34,80.0,47.0,84.0,8.2
2021-10-29 22:50:52,83.0,47.0,85.0,9.9
2021-10-28 22:13:48,76.0,46.0,82.0,11.1
2021-10-27 22:11:59,92.0,46.0,88.0,13.5
2021-10-26 21:31:25,68.0,49.0,80.0,17.7
2021-10-25 22:21:53,85.0,46.0,82.0,14.0
2021-10-24 23:13:51,88.0,45.0,83.0,12.9
2021-10-23 22:08:22,47.0,52.0,74.0,10.3
2021-10-22 23:11:22,71.0,47.0,80.0,20.6
2021-10-21 22:26:07,64.0,46.0,76.0,14.6
2021-10-20 22:22:50,52.0,47.0,74.0,11.6
2021-10-19 23:20:52,64.0,46.0,78.0,7.9
2021-10-18 22:23:53,70.0,46.0,79.0,14.2
2021-10-17 22:25:25,78.0,46.0,81.0,13.6
2021-10-16 23:29:29,62.0,47.0,75.0,14.0
2021-10-15 22:30:15,92.0,47.0,87.0,16.7
2021-10-14 21:30:14,66.0,47.0,80.0,12.8
2021-10-13 21:43:05,61.0,50.0,80.0,7.1
2021-10-12 21:58:49,54.0,47.0,77.0,17.6
2021-10-11 22:04:52,59.0,45.0,79.0,16.2
2021-10-10 21:59:47,81.0,44.0,87.0,15.5
2021-10-09 23:02:56,95.0,43.0,94.0,8.0
2021-10-08 23:14:52,85.0,44.0,87.0,10.5
2021-10-07 23:12:09,70.0,46.0,82.0,15.9
2021-10-06 22:53:00,78.0,47.0,84.0,17.7
2021-10-05 21:51:34,77.0,49.0,82.0,11.0
2021-10-04 23:14:02,52.0,48.0,77.0,17.4
2021-10-03 21:59:09,72.0,47.0,83.0,17.2
2021-10-02 23:11:33,47.0,48.0,74.0,10.7
2021-10-01 22:49:28,50.0,50.0,78.0,18.1
2021-09-30 21:40:00,69.0,47.0,85.0,19.8
2021-09-29 21:23:38,61.0,48.0,83.0,11.3
2021-09-29 01:24:02,32.0,49.0,71.0,15.7
2021-09-27 22:40:30,70.0,44.0,85.0,16.8
2021-09-26 22:32:32,80.0,45.0,86.0,11.0
2021-09-25 22:47:44,84.0,45.0,87.0,11.9
2021-09-24 21:56:18,68.0,48.0,81.0,13.4
2021-09-23 21:57:58,89.0,45.0,90.0,16.8
2021-09-22 21:20:53,73.0,48.0,83.0,10.2
2021-09-21 20:37:00,54.0,47.0,71.0,18.0
2021-09-20 21:42:18,47.0,47.0,74.0,13.7
2021-09-19 21:56:49,52.0,45.0,76.0,15.7
2021-09-18 23:17:01,47.0,45.0,74.0,8.3
2021-09-17 23:33:55,46.0,45.0,74.0,13.0
2021-09-16 23:27:04,68.0,46.0,86.0,8.8
2021-09-15 22:25:49,65.0,45.0,85.0,19.3
2021-09-14 21:59:00,92.0,44.0,95.0,16.0
2021-09-13 21:24:01,76.0,44.0,86.0,16.0
2021-09-12 22:35:39,75.0,45.0,86.0,12.2
2021-09-11 21:26:46,60.0,51.0,82.0,13.6
2021-09-10 23:22:41,78.0,47.0,89.0,20.4
2021-09-09 21:44:46,50.0,51.0,79.0,9.6
2021-09-08 22:19:51,48.0,50.0,78.0,17.9
2021-09-07 21:48:54,57.0,49.0,85.0,19.4
2021-09-06 22:49:12,67.0,49.0,92.0,13.7
2021-09-05 23:00:11,65.0,47.0,91.0,18.3
2021-09-04 23:18:31,59.0,47.0,87.0,15.4
2021-09-03 22:26:14,88.0,46.0,97.0,14.1
2021-09-02 22:11:43,89.0,46.0,96.0,13.2
2021-09-01 20:58:53,93.0,47.0,97.0,11.5
2021-08-31 21:51:51,80.0,46.0,92.0,19.3
2021-08-30 21:51:16,87.0,44.0,94.0,16.2
2021-08-29 22:23:44,62.0,45.0,87.0,15.2
2021-08-28 22:04:45,74.0,43.0,92.0,12.1
2021-08-28 00:47:00,61.0,46.0,86.0,4.1
2021-08-26 23:56:27,73.0,47.0,96.0,9.8
2021-08-25 22:41:28,80.0,47.0,97.0,18.3
2021-08-24 23:22:51,81.0,48.0,92.0,14.4
2021-08-23 23:25:39,85.0,47.0,95.0,17.0
2021-08-23 01:13:58,82.0,44.0,94.0,15.9
2021-08-22 01:14:19,88.0,46.0,95.0,5.2
2021-08-20 22:54:19,43.0,56.0,67.0,6.5
2021-08-19 21:20:00,1.0,78.0,38.0,6.2
2021-08-18 21:33:11,55.0,47.0,78.0,16.8
2021-08-17 23:40:46,62.0,45.0,83.0,9.7
2021-08-16 22:55:01,78.0,45.0,85.0,10.6
2021-08-15 22:45:06,59.0,46.0,82.0,11.0
2021-08-14 23:34:52,56.0,45.0,80.0,13.2
2021-08-13 23:09:33,62.0,46.0,83.0,10.5
2021-08-12 22:58:42,67.0,46.0,86.0,9.6
2021-08-11 23:02:02,81.0,45.0,87.0,15.8
2021-08-10 22:35:10,78.0,45.0,85.0,9.5
2021-08-09 22:49:36,56.0,48.0,80.0,12.6
2021-08-08 21:48:08,92.0,43.0,92.0,20.5
2021-08-07 22:59:51,82.0,45.0,85.0,15.5
2021-08-06 23:23:08,55.0,46.0,80.0,4.6
2021-08-05 22:47:13,62.0,46.0,82.0,8.3
2021-08-04 22:27:10,50.0,47.0,76.0,14.2
2021-08-03 22:17:06,73.0,45.0,88.0,15.8
2021-08-02 22:24:35,75.0,44.0,86.0,12.6
2021-08-01 23:09:23,74.0,45.0,85.0,15.6
2021-07-31 23:23:54,75.0,46.0,83.0,7.7
2021-07-30 23:38:07,80.0,45.0,86.0,15.2
2021-07-29 22:17:42,93.0,45.0,96.0,7.0
2021-07-28 22:36:05,49.0,49.0,71.0,10.8
2021-07-27 22:18:49,67.0,47.0,76.0,20.5
2021-07-26 22:25:45,82.0,45.0,82.0,15.8
2021-07-25 22:52:21,62.0,46.0,73.0,10.5
2021-07-25 00:03:23,52.0,47.0,68.0,13.4
2021-07-23 23:27:23,33.0,56.0,60.0,7.1
2021-07-22 23:05:07,56.0,47.0,75.0,17.1
2021-07-21 23:07:12,49.0,48.0,71.0,14.0
2021-07-20 23:03:54,60.0,47.0,78.0,8.9
2021-07-19 23:05:58,55.0,46.0,77.0,18.0
2021-07-18 23:14:34,80.0,45.0,89.0,15.6
2021-07-17 23:42:07,93.0,46.0,95.0,8.2
2021-07-16 23:40:17,87.0,49.0,95.0,11.9
2021-07-15 23:13:48,80.0,48.0,85.0,8.6
2021-07-14 22:58:13,65.0,48.0,79.0,18.1
2021-07-13 22:37:58,88.0,49.0,86.0,11.6
2021-07-12 22:09:13,93.0,48.0,89.0,12.1
