Cycle start time,Activity Strain,Average HR (bpm),Max HR (bpm)
2021-06-23 22:46:32,13.0,169,192
2021-06-22 23:35:57,5.1,95,127
2021-06-22 23:35:57,10.3,143,166
2021-06-22 23:35:57,9.8,138,181
2021-06-21 22:34:20,17.2,168,188
2021-06-21 22:34:20,5.6,107,134
2021-06-17 22:51:54,6.8,116,155
2021-06-16 22:18:59,6.3,99,148
2021-06-16 22:18:59,17.3,178,195
2021-06-16 22:18:59,7.2,122,176
2021-06-15 22:28:05,4.8,90,147
2021-06-15 22:28:05,8.1,131,147
2021-06-14 23:08:43,10.5,113,140
2021-06-14 23:08:43,17.9,179,195
2021-06-13 22:24:46,12.4,120,168
2021-06-13 22:24:46,5.4,97,135
2021-06-13 22:24:46,13.1,156,175
2021-06-13 22:24:46,7.7,120,163
2021-06-12 22:10:58,4.7,89,126
2021-06-12 22:10:58,14.1,146,192
2021-06-10 22:30:39,4.4,85,118
2021-06-08 21:17:20,4.7,89,134
2021-06-08 21:17:20,8.7,134,153
2021-06-07 22:01:32,4.0,81,121
2021-06-07 22:01:32,9.2,136,161
2021-06-06 22:22:02,5.1,98,127
2021-06-06 22:22:02,11.5,147,167
2021-06-06 22:22:02,6.5,118,142
2021-06-04 00:05:30,4.6,92,127
2021-06-04 00:05:30,12.3,150,175
2021-06-02 21:30:18,6.7,108,142
2021-06-02 21:30:18,11.9,149,174
2021-06-02 21:30:18,6.4,116,146
2021-06-02 00:00:06,8.0,121,158
2021-06-02 00:00:06,6.0,103,138
2021-05-31 22:11:41,5.7,106,138
2021-05-30 23:03:26,5.5,104,125
2021-05-29 23:51:44,4.7,91,127
2021-05-29 23:51:44,7.9,126,154
2021-05-29 00:51:35,9.0,104,160
2021-05-27 23:32:10,5.8,111,137
2021-05-26 22:42:53,6.5,96,135
2021-05-26 22:42:53,6.1,113,153
2021-05-25 22:49:51,13.1,166,179
2021-05-25 22:49:51,4.2,111,136
2021-05-24 22:10:57,6.6,101,131
2021-05-24 22:10:57,6.3,114,156
2021-05-23 22:35:05,5.3,101,139
2021-05-23 22:35:05,13.3,169,188
2021-05-23 22:35:05,6.1,111,135
2021-05-22 23:09:52,9.0,108,153
2021-05-20 22:10:34,13.2,168,185
2021-05-19 21:59:52,5.2,99,135
2021-05-19 21:59:52,12.7,156,167
2021-05-19 21:59:52,6.8,119,168
2021-05-18 22:48:02,4.7,95,117
2021-05-18 22:48:02,15.6,172,186
2021-05-18 22:48:02,6.3,114,139
2021-05-17 22:45:14,6.6,94,138
2021-05-17 22:45:14,8.3,123,169
2021-05-16 22:31:54,4.6,91,133
2021-05-16 22:31:54,12.2,152,169
2021-05-14 23:09:12,7.0,107,147
2021-05-13 23:00:58,6.0,132,153
2021-05-13 23:00:58,15.5,173,190
2021-05-13 23:00:58,5.3,104,127
2021-05-12 23:03:57,7.0,120,156
2021-05-12 23:03:57,5.3,105,147
2021-05-12 23:03:57,5.4,105,124
2021-05-11 22:01:06,6.1,94,134
2021-05-11 22:01:06,6.0,111,126
2021-05-10 22:15:33,8.5,124,156
2021-05-10 22:15:33,5.8,106,135
2021-05-10 22:15:33,5.6,108,129
2021-05-09 22:26:52,9.7,125,160
2021-05-09 22:26:52,13.3,170,191
2021-05-07 23:35:01,10.1,130,162
2021-05-07 23:35:01,4.8,107,128
2021-05-06 22:34:56,5.1,103,135
2021-05-06 22:34:56,11.2,145,171
2021-05-06 22:34:56,5.6,106,127
2021-05-05 22:20:40,6.0,110,133
2021-05-04 21:47:47,6.9,112,146
2021-05-04 21:47:47,5.2,128,174
2021-05-04 21:47:47,13.4,172,192
2021-05-04 21:47:47,6.0,112,138
2021-05-03 22:15:52,5.1,97,127
2021-05-03 22:15:52,13.1,158,174
2021-05-03 22:15:52,6.5,113,147
2021-05-02 22:47:52,7.9,108,145
2021-05-02 22:47:52,11.9,157,180
2021-05-02 22:47:52,5.4,102,129
2021-04-30 23:38:54,5.4,108,125
2021-04-29 22:01:35,8.6,120,165
2021-04-29 22:01:35,5.5,110,135
2021-04-28 22:11:58,5.7,108,136
2021-04-27 21:50:23,5.2,104,125
2021-04-26 22:09:31,17.1,174,189
2021-04-25 22:27:40,12.5,160,191
2021-04-25 22:27:40,6.3,106,139
2021-04-25 22:27:40,11.5,147,171
2021-04-25 22:27:40,6.1,110,131
2021-04-23 22:35:11,10.6,127,160
2021-04-22 22:17:02,5.7,104,140
2021-04-22 22:17:02,16.7,171,196
2021-04-22 22:17:02,5.7,110,135
2021-04-21 21:42:03,4.4,95,125
2021-04-21 21:42:03,11.0,143,169
2021-04-20 21:31:42,4.3,93,115
2021-04-20 21:31:42,15.1,171,190
2021-04-20 21:31:42,6.2,113,134
2021-04-19 22:11:27,4.7,103,133
2021-04-19 22:11:27,13.6,162,180
2021-04-18 21:38:49,8.1,122,151
2021-04-18 21:38:49,13.6,155,199
2021-04-18 21:38:49,5.7,81,133
2021-04-14 01:43:01,5.2,100,133
2021-04-09 23:41:03,6.9,117,155
2021-04-08 22:11:21,4.4,90,129
2021-04-08 22:11:21,12.6,153,173
2021-04-08 22:11:21,6.0,110,132
2021-04-07 22:37:19,6.6,120,174
2021-04-07 22:37:19,5.6,110,134
2021-04-06 19:38:29,5.6,94,138
2021-04-06 19:38:29,15.3,176,190
2021-04-06 19:38:29,6.3,112,159
2021-04-05 22:49:59,4.8,95,137
2021-04-05 22:49:59,10.3,136,168
2021-04-05 22:49:59,5.6,104,119
2021-04-04 22:18:36,15.8,172,189
2021-03-31 22:46:56,6.7,112,140
2021-03-31 22:46:56,12.4,154,170
2021-03-30 22:44:46,6.2,141,157
2021-03-30 22:44:46,5.7,99,140
2021-03-29 22:41:41,5.3,102,130
2021-03-29 22:41:41,12.0,173,191
2021-03-29 22:41:41,14.9,171,191
2021-03-28 22:23:53,8.8,118,154
2021-03-28 22:23:53,5.5,105,136
2021-03-27 23:00:06,5.6,97,128
2021-03-25 22:50:42,15.8,174,188
2021-03-23 22:21:17,5.0,99,128
2021-03-23 22:21:17,12.2,125,190
2021-03-23 00:01:06,4.4,91,130
2021-03-23 00:01:06,12.7,155,170
2021-03-21 21:00:20,11.1,135,170
