Cycle start time,Cycle end time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-08-04 22:13:57,2022-08-05 22:22:11,49.0,50.0,70.0,6.7,1894.0,140.0,60.0,2022-08-04 22:13:57,2022-08-05 06:00:11,77.0,13.5,430.0,466.0,147.0,101.0,182.0,36.0,556.0,59.0,92.0,94.0
2022-08-03 22:23:03,2022-08-04 22:13:57,90.0,46.0,86.0,14.0,2357.0,170.0,63.0,2022-08-03 22:23:03,2022-08-04 06:16:29,80.0,13.5,434.0,473.0,191.0,101.0,142.0,39.0,545.0,74.0,92.0,90.0
2022-08-02 22:05:42,2022-08-03 22:23:03,82.0,48.0,85.0,6.0,1837.0,138.0,61.0,2022-08-02 22:05:42,2022-08-03 06:20:47,75.0,13.6,439.0,495.0,185.0,116.0,138.0,56.0,586.0,72.0,90.0,81.0
2022-08-01 22:30:09,2022-08-02 22:05:42,88.0,46.0,85.0,16.5,2448.0,183.0,66.0,2022-08-01 22:30:09,2022-08-02 06:22:10,69.0,13.4,409.0,471.0,202.0,90.0,117.0,62.0,593.0,86.0,89.0,79.0
2022-07-31 22:40:42,2022-08-01 22:30:09,45.0,45.0,68.0,15.5,2596.0,180.0,65.0,2022-07-31 22:40:42,2022-08-01 05:54:44,71.0,13.4,419.0,434.0,243.0,72.0,104.0,15.0,593.0,86.0,96.0,77.0
2022-07-30 23:56:07,2022-07-31 22:40:42,63.0,47.0,75.0,15.5,2458.0,180.0,67.0,2022-07-30 23:56:07,2022-07-31 07:32:44,71.0,13.6,420.0,454.0,256.0,53.0,111.0,34.0,589.0,83.0,93.0,80.0
2022-07-30 00:02:19,2022-07-30 23:56:07,58.0,47.0,73.0,15.3,2764.0,178.0,70.0,2022-07-30 00:02:19,2022-07-30 07:18:45,72.0,13.7,403.0,436.0,163.0,91.0,149.0,33.0,557.0,86.0,92.0,72.0
2022-07-28 23:01:14,2022-07-30 00:02:19,70.0,46.0,76.0,6.1,1910.0,147.0,61.0,2022-07-28 23:01:14,2022-07-29 06:16:13,71.0,13.5,401.0,433.0,227.0,73.0,101.0,32.0,562.0,53.0,92.0,86.0
2022-07-27 21:41:53,2022-07-28 23:01:14,81.0,45.0,80.0,15.7,2699.0,174.0,64.0,2022-07-27 21:41:53,2022-07-28 06:14:44,82.0,13.5,472.0,513.0,211.0,94.0,167.0,41.0,572.0,76.0,91.0,69.0
2022-07-26 23:20:51,2022-07-27 21:41:53,50.0,48.0,73.0,13.8,2263.0,175.0,65.0,2022-07-26 23:20:51,2022-07-27 06:13:46,67.0,13.4,393.0,413.0,213.0,58.0,122.0,20.0,591.0,65.0,95.0,70.0
2022-07-25 22:24:32,2022-07-26 23:20:51,55.0,46.0,75.0,18.0,3177.0,172.0,67.0,2022-07-25 22:24:32,2022-07-26 06:16:03,78.0,13.4,439.0,470.0,227.0,82.0,130.0,31.0,561.0,86.0,93.0,56.0
2022-07-25 00:08:13,2022-07-25 22:24:32,52.0,46.0,76.0,8.5,1855.0,156.0,61.0,2022-07-25 00:08:13,2022-07-25 06:21:12,63.0,13.7,337.0,373.0,149.0,69.0,119.0,36.0,540.0,146.0,93.0,55.0
2022-07-24 03:44:26,2022-07-25 00:08:13,20.0,51.0,69.0,4.3,1494.0,116.0,58.0,2022-07-24 03:44:26,2022-07-24 07:32:16,37.0,13.9,206.0,227.0,124.0,48.0,34.0,21.0,565.0,65.0,93.0,42.0
2022-07-22 23:27:15,2022-07-24 03:44:26,73.0,49.0,86.0,14.4,2958.0,169.0,71.0,2022-07-22 23:27:15,2022-07-23 07:59:38,78.0,13.8,479.0,512.0,210.0,130.0,139.0,33.0,614.0,81.0,94.0,73.0
